FID IID Population
1350 NA11832 OWN
1349 NA11840 OWN
1447 NA12761 OWN
1340 NA06994 OWN
1362 NA11993 OWN
1362 NA11995 OWN
1463 NA12891 OWN
1444 NA12751 OWN
1420 NA12005 OWN
1375 NA12234 OWN
1345 NA07345 OWN
1463 NA12892 OWN
1416 NA12248 OWN
1459 NA12872 OWN
1408 NA12155 OWN
1341 NA06993 OWN
1350 NA11830 OWN
1416 NA12249 OWN
1344 NA12057 OWN
1454 NA12812 OWN
1347 NA11881 OWN
1362 NA11994 OWN
1459 NA12873 OWN
1454 NA12815 OWN
1346 NA12043 OWN
1375 NA12264 OWN
