,0,1,Population_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,1340,NA07000,OWN,0.0204681,-0.0298438,0.0385924,-0.00581548,-0.0390001,0.0479712,0.0298566,0.0593949,-0.0233198,-0.0442181,0.00251718,-0.0773444,0.0520807,0.0231439,-0.190314,0.0364441,0.0726181,0.0228176,0.0561178,0.0982555
11,1340,NA07022,OWN,0.0193427,-0.0304797,0.01655,0.0108219,0.00427801,-0.00685887,-0.0111964,0.00692769,0.000183237,-0.00203677,-0.00608273,0.00210201,0.00404981,-0.00886179,0.00228098,-0.00101993,0.00941088,0.00927157,0.0156278,0.0110429
12,1340,NA07056,OWN,0.0195281,-0.0309204,0.0337118,0.0291959,0.0261348,-0.0870675,-0.181169,0.063399,0.202199,-0.0582575,0.00807493,-0.0859807,-0.0135563,-0.0849035,-0.0976022,-0.0364177,0.117498,0.158684,-0.0158827,0.144646
13,1341,NA06985,OWN,0.0184789,-0.0298637,0.00189925,-0.00712928,-0.0219251,-0.0199978,-0.0239119,0.00270175,-0.0556113,0.0375811,0.0162301,-0.0407146,-0.0444049,-0.0110613,-0.0162439,-0.0464908,-0.0205436,-0.023156,-0.0320736,0.0683992
14,1341,NA06993,OWN,0.0197738,-0.0301578,0.00976651,0.00660829,-0.00332901,-0.00819862,-0.02421,0.00777004,0.0260487,-0.00213337,-0.00177103,-0.00744685,-0.00541926,-0.00554046,-0.0163512,-0.00264127,0.0290412,0.0246784,-0.00482862,0.0235339
15,1341,NA07055,OWN,0.018848,-0.0303577,0.0140826,0.00667292,-0.00412682,-0.00412945,-0.0156597,-0.0140111,0.00895532,-0.00059506,-0.0150575,0.0156373,-0.00612144,0.00111737,-0.00229069,-0.0210324,-0.0140067,-0.00837989,0.00955352,0.00833014
16,1344,NA10850,OWN,0.0197305,-0.0308287,0.00802726,0.00414906,0.00651165,0.000886236,-0.00495699,0.00315728,0.00201566,0.00719765,0.0113618,-0.0121099,-0.00793072,0.0036024,-0.0115094,-0.000718049,-0.000553377,0.00884989,0.0095055,0.00522491
17,1344,NA12056,OWN,0.0201576,-0.0306963,0.0225754,0.0156421,0.0177418,-0.00675312,-0.0106845,-0.00545025,0.0203477,0.00566159,-0.0265553,0.00746023,0.00529227,0.0127498,0.00624398,-0.00101993,-0.00655001,0.0180861,0.0079404,-0.00214568
18,1344,NA12057,OWN,0.0187381,-0.0303293,0.0357401,0.0158601,0.0159438,0.00844174,-0.00636904,0.00305684,0.010914,0.00812003,-0.0284883,-0.00652918,0.0179837,0.00269945,0.00869603,0.00335926,-0.00747506,0.0161531,0.00632943,-0.00109488
19,1345,NA07345,OWN,0.0188772,-0.0297005,0.0172698,-0.0017032,0.00536812,-0.011827,-0.00391553,0.00308384,0.00839245,0.00431572,-0.0031513,0.00391099,-0.00724982,-0.00313918,0.00817051,-0.00386161,-0.0118805,-0.00440834,-0.000695674,-0.00768613
20,1345,NA07346,OWN,0.0204131,-0.030756,0.0662563,0.0157836,-0.0529635,-0.134575,0.141728,0.149167,-0.052458,0.0455659,-0.0325098,-0.0129383,-0.146001,0.0211962,0.0189595,0.0264302,0.131667,-0.0496806,-0.0928273,-0.0964013
21,1345,NA07347,OWN,0.0195405,-0.0315788,0.00352386,-0.00343175,0.0652613,0.026491,-0.0704837,-0.0786531,-0.0304707,-0.0180859,0.207491,0.0283332,0.0191468,0.0168029,0.00349485,0.158929,0.0286903,-0.0103483,0.0593784,0.0484796
22,1345,NA07357,OWN,0.0196023,-0.0307937,-0.00712037,0.0152943,0.0687459,0.0691802,-0.0280115,0.037355,-0.135226,0.0190631,-0.154786,-0.0449669,0.0770663,0.107879,0.0203366,0.0259576,-0.0234349,0.139006,-0.0602395,-0.085516
23,1346,NA10852,OWN,0.0196852,-0.0307898,0.0118579,0.00708375,-0.0289788,0.00874201,0.00173646,-0.0235,-0.00337474,-0.0126096,-0.0193226,-0.011404,-0.0224719,0.0215167,0.00931822,0.00327367,0.00749915,0.0256639,-0.00961539,0.00627403
